-8.6,-286.7,-67.9,104.5,40.9,45.8,115.3,49.9,60.0
54.1,-393.8,68.3,121.8,37.2,135.7,147.2,45.7,149.4
47.8,-254.6,71.8,91.5,22.6,149.4,110.2,27.8,172.1
28.0,-275.1,18.0,160.4,54.6,123.2,186.0,62.7,136.5
177.6,-287.9,117.9,88.5,35.5,142.1,114.6,46.0,162.7
-10.0,-82.3,-0.6,72.3,17.2,158.2,83.2,21.2,162.7
-11.9,-222.1,88.0,178.6,35.4,115.1,187.6,44.0,134.9
-92.3,-160.2,-33.4,255.2,53.2,138.0,274.6,66.5,178.1
-11.2,159.6,-166.5,46.7,16.6,110.7,65.6,21.9,151.7
-242.4,109.9,180.7,155.1,28.5,189.5,229.2,35.9,236.1
8.2,192.0,-25.0,104.4,32.9,169.6,124.0,40.2,186.6
48.4,164.5,-171.1,118.3,18.0,125.1,139.6,24.2,172.0
-115.6,17.4,169.3,175.1,15.1,137.8,200.3,18.5,197.5
-82.8,91.7,41.4,153.8,26.0,221.2,171.1,36.6,239.8
-33.3,94.4,60.9,151.8,21.9,173.4,175.4,26.8,197.5
-101.3,-9.3,98.4,223.1,22.0,203.0,246.4,30.4,238.1
-51.6,170.5,-7.5,155.1,20.9,79.9,166.6,27.0,90.1
-73.6,186.4,-29.2,272.3,25.4,108.5,285.9,34.7,129.2
114.6,107.3,90.7,255.8,15.6,122.5,283.2,19.3,146.9
29.0,77.5,116.5,171.1,10.6,230.6,201.1,13.2,269.9
-151.7,-8.3,-26.3,398.6,35.0,117.5,424.7,40.6,142.8
