ID,No. stars,"$(X,Y,Z)$ [kpc]","$(v_r,v_\phi,v_z)$","$(\sigma_r,\sigma_\phi,\sigma_z)$",Fe/H,P
\hline\hline S1,32,"$(8.6,0.5,2.6)$","$(-11.1,-293.9,-69.3)$","$(111.6,41.7,60.9)$",$-1.9\pm 0.3$,1.0
\hline\hline S2a,59,"$(8.8,0.3,0.4)$","$(2.3,163.2,-234.9)$","$(53.9,15.6,27.7)$",$-1.9\pm 0.2$,0.4
S2b,12,"$(9.8,0.2,4.8)$","$(-70.9,153.3,161.5)$","$(83.9,29.6,71.5)$",$-2.0\pm 0.3$,1.5
\hline\hline C2a,4,"$(8.7,0.2,1.3)$","$(84.8,145.9,-277.4)$","$(304.3,15.3,126.6)$",$-1.4\pm 0.1$,7.1
C2b,18,"$(9.0,-0.8,2.5)$","$(-315.1,101.8,282.5)$","$(120.6,34.2,86.9)$",$-1.5\pm 0.1$,0.7
\hline\hline Rg1,20,"$(8.3,0.2,4.3)$","$(54.1,-393.8,68.3)$","$(147.2,45.7,149.4)$",$-1.6\pm 0.2$,3.6
\hline\hline Rg2a,13,"$(8.9,0.3,4.4)$","$(44.5,-248.4,185.2)$","$(105.9,23.1,63.5)$",$-1.6\pm 0.2$,1.4
Rg2b,6,"$(8.6,1.1,4.7)$","$(24.9,-266.8,-171.8)$","$(100.6,34.3,52.7)$",$-1.6\pm 0.1$,3.0
\hline\hline Rg3,16,"$(9.3,0.1,4.2)$","$(28.0,-275.1,18.0)$","$(186.0,62.7,136.5)$",$-1.5\pm 0.2$,2.6
\hline\hline Rg4,13,"$(8.2,1.7,5.0)$","$(177.6,-287.9,117.9)$","$(114.6,46.0,162.7)$",$-1.5\pm 0.2$,4.0
\hline\hline Rg5a,15,"$(8.4,0.8,1.1)$","$(43.8,-78.2,-153.5)$","$(63.2,19.3,33.2)$",$-2.2\pm 0.3$,0.7
Rg5b,14,"$(8.1,-0.2,2.2)$","$(-67.7,-86.7,163.3)$","$(60.3,22.3,41.7)$",$-2.1\pm 0.3$,0.9
\hline\hline Rg6a,17,"$(8.3,0.2,3.3)$","$(140.9,-229.0,157.6)$","$(79.6,44.2,90.0)$",$-1.6\pm 0.2$,1.1
Rg6b,12,"$(8.5,0.9,3.2)$","$(-222.2,-204.8,-14.5)$","$(34.8,32.2,128.4)$",$-1.7\pm 0.3$,0.6
\hline\hline Rg7a,5,"$(8.2,0.5,3.3)$","$(261.4,-163.9,96.3)$","$(74.0,67.6,200.3)$",$-1.5\pm 0.1$,1.1
Rg7b,9,"$(8.9,-0.0,5.1)$","$(-288.7,-158.1,-105.5)$","$(78.7,65.8,111.8)$",$-1.5\pm 0.3$,1.8
\hline\hline Cand8a,19,"$(8.5,0.3,1.4)$","$(25.5,205.5,193.2)$","$(124.4,37.2,57.8)$",$-1.8\pm 0.3$,0.1
Cand8b,30,"$(9.9,0.1,2.3)$","$(-2.7,183.5,-163.2)$","$(122.4,39.6,74.4)$",$-1.7\pm 0.3$,0.3
\hline\hline Cand9,43,"$(9.2,-0.2,1.7)$","$(50.1,164.9,-181.8)$","$(140.8,24.4,159.0)$",$-1.8\pm 0.2$,0.5
\hline\hline Cand10a,25,"$(8.8,-0.4,2.7)$","$(-252.3,19.1,192.4)$","$(55.0,18.3,126.6)$",$-2.0\pm 0.2$,0.4
Cand10b,13,"$(8.1,0.7,0.5)$","$(144.8,13.7,120.5)$","$(103.4,19.1,287.0)$",$-2.0\pm 0.2$,0.3
\hline\hline Cand11a,14,"$(9.1,-0.3,2.7)$","$(62.9,111.2,-249.8)$","$(123.9,35.0,103.5)$",$-2.1\pm 0.3$,0.3
